frame_id,block_id,row,col,importance,motion,initial_mode,final_mode,rule_applied,downgraded_by_budget,final_latency_ms
29,r2c1,2,1,0.62,0.61,balanced,balanced,medium_block_use_balanced,False,129.0
29,r2c2,2,2,0.83,0.67,accurate,accurate,important_block_use_accurate,False,129.0
30,r0c0,0,0,0.28,0.38,fast,fast,low_block_use_fast,False,105.0
30,r0c1,0,1,0.0,0.28,skip,skip,unimportant_block_skip,False,105.0
30,r0c2,0,2,0.04,0.14,skip,skip,unimportant_block_skip,False,105.0
30,r1c0,1,0,0.6,0.54,balanced,balanced,medium_block_use_balanced,False,105.0
30,r1c1,1,1,0.42,0.28,fast,fast,low_block_use_fast,False,105.0
30,r1c2,1,2,0.03,0.09,skip,skip,unimportant_block_skip,False,105.0
30,r2c0,2,0,0.91,0.84,accurate,accurate,important_block_use_accurate,False,105.0
30,r2c1,2,1,0.75,0.36,balanced,balanced,medium_block_use_balanced,False,105.0
30,r2c2,2,2,0.25,0.32,fast,fast,low_block_use_fast,False,105.0
31,r0c0,0,0,0.26,0.21,fast,skip,low_block_use_fast,True,153.0
31,r0c1,0,1,0.54,0.48,balanced,skip,medium_block_use_balanced,True,153.0
31,r0c2,0,2,0.26,0.29,fast,skip,low_block_use_fast,True,153.0
31,r1c0,1,0,0.74,0.7,accurate,accurate,motion_hotspot_use_accurate,False,153.0
31,r1c1,1,1,0.82,0.76,accurate,accurate,important_block_use_accurate,False,153.0
31,r1c2,1,2,0.72,0.37,balanced,balanced,medium_block_use_balanced,False,153.0
31,r2c0,2,0,0.25,0.39,fast,skip,low_block_use_fast,True,153.0
31,r2c1,2,1,0.66,0.7,accurate,accurate,motion_hotspot_use_accurate,False,153.0
31,r2c2,2,2,0.5,0.34,balanced,skip,medium_block_use_balanced,True,153.0
32,r0c0,0,0,0.83,0.86,accurate,accurate,important_block_use_accurate,False,121.0
32,r0c1,0,1,0.63,0.38,balanced,balanced,medium_block_use_balanced,False,121.0
32,r0c2,0,2,0.43,0.24,fast,fast,low_block_use_fast,False,121.0
32,r1c0,1,0,0.54,0.54,balanced,balanced,medium_block_use_balanced,False,121.0
32,r1c1,1,1,0.29,0.41,fast,fast,low_block_use_fast,False,121.0
32,r1c2,1,2,0.28,0.16,fast,fast,low_block_use_fast,False,121.0
32,r2c0,2,0,0.49,0.44,fast,fast,low_block_use_fast,False,121.0
32,r2c1,2,1,0.23,0.28,fast,fast,low_block_use_fast,False,121.0
32,r2c2,2,2,0.1,0.18,skip,skip,unimportant_block_skip,False,121.0
33,r0c0,0,0,0.84,0.86,accurate,accurate,important_block_use_accurate,False,115.0
33,r0c1,0,1,0.72,0.55,balanced,balanced,medium_block_use_balanced,False,115.0
33,r0c2,0,2,0.29,0.23,fast,fast,low_block_use_fast,False,115.0
33,r1c0,1,0,0.69,0.68,balanced,balanced,medium_block_use_balanced,False,115.0
33,r1c1,1,1,0.4,0.35,fast,fast,low_block_use_fast,False,115.0
33,r1c2,1,2,0.18,0.25,skip,skip,unimportant_block_skip,False,115.0
33,r2c0,2,0,0.52,0.27,balanced,balanced,medium_block_use_balanced,False,115.0
33,r2c1,2,1,0.09,0.09,skip,skip,unimportant_block_skip,False,115.0
33,r2c2,2,2,0.01,0.18,skip,skip,unimportant_block_skip,False,115.0
34,r0c0,0,0,0.43,0.44,fast,fast,low_block_use_fast,False,123.0
34,r0c1,0,1,0.58,0.57,balanced,balanced,medium_block_use_balanced,False,123.0
34,r0c2,0,2,1.0,0.8,accurate,accurate,important_block_use_accurate,False,123.0
34,r1c0,1,0,0.1,0.18,skip,skip,unimportant_block_skip,False,123.0
34,r1c1,1,1,0.5,0.35,balanced,balanced,medium_block_use_balanced,False,123.0
34,r1c2,1,2,0.72,0.61,balanced,balanced,medium_block_use_balanced,False,123.0
34,r2c0,2,0,0.16,0.32,skip,skip,unimportant_block_skip,False,123.0
